Model1,Model2,statistic,pvalue_raw
DT_KM_COS,XGBRF_KM_SCAN_COS_MAHA,215.0,0.011555117602100111
DT_KM_COS_MAHA,DT_HDBSCAN_NN,276.5,0.2456436966579032
DT_KM_COS_MAHA,DT_HDBSCAN_COS,378.5,0.6594734561049858
DT_KM_COS_MAHA,DT_KM_SCAN_NN,314.0,0.07693189401580636
DT_KM_COS_MAHA,DT_KM_SCAN_COS,357.0,0.024747000459357356
DT_KM_COS_MAHA,DT_KM_SCAN_COS_MAHA,406.5,0.9617608082939972
DT_KM_COS_MAHA,RF,393.0,7.814079203635148e-10
DT_KM_COS_MAHA,RF_KM_C,426.0,0.008826811886931473
DT_KM_COS_MAHA,RF_KM_NN,382.5,0.047096601959306594
DT_KM_COS_MAHA,RF_KM_COS,396.0,0.06776608955541175
DT_KM_COS_MAHA,RF_KM_COS_MAHA,408.0,0.005108200583589853
DT_KM_COS_MAHA,RF_HDBSCAN_NN,254.5,3.365911789363942e-05
DT_KM_COS_MAHA,RF_HDBSCAN_COS,223.5,0.00044004205933420473
DT_KM_COS_MAHA,RF_KM_SCAN_NN,230.0,0.09435430185572952
DT_KM_COS_MAHA,RF_KM_SCAN_COS,234.5,0.04244644125023819
DT_KM_COS_MAHA,RF_KM_SCAN_COS_MAHA,324.5,0.01661465470798828
DT_KM_COS_MAHA,XGB,568.0,0.0009408079124378746
DT_KM_COS_MAHA,XGB_KM_C,376.0,0.0008238713870108963
DT_KM_COS_MAHA,XGB_KM_NN,544.5,0.12436051926910642
DT_KM_COS_MAHA,XGB_KM_COS,670.0,0.0954574066361334
DT_KM_COS_MAHA,XGB_KM_COS_MAHA,494.0,0.004541720101014221
DT_KM_COS_MAHA,XGB_HDBSCAN_NN,439.5,0.0016953441577351892
DT_KM_COS_MAHA,XGB_HDBSCAN_COS,433.5,0.0025044588683250904
DT_KM_COS_MAHA,XGB_KM_SCAN_NN,630.0,0.1628049797898945
DT_KM_COS_MAHA,XGB_KM_SCAN_COS,557.0,0.0024575823530153342
DT_KM_COS_MAHA,XGB_KM_SCAN_COS_MAHA,400.0,0.0009461124543225696
DT_KM_COS_MAHA,XGBRF,575.0,0.018956684466543684
