Dataset,Model,Metric,Best Score,Mean Score,Best Params
DT_KM_COS_MAHA,DT,accuracy,0.9933333333333334,0.981747311827957,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_COS_MAHA,DT,f1-score,0.9933259176863182,0.9817500430372371,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_COS_MAHA,DT,roc_auc,0.9933333333333334,0.9862291666666667,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_COS_MAHA,RF,precision,0.975,0.975,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_COS_MAHA,RF,accuracy,0.9834408602150537,0.9809677419354839,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}"
DT_KM_COS_MAHA,RF,f1-score,0.9836484983314794,0.980994756078182,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}"
DT_KM_COS_MAHA,RF,roc_auc,0.9982222222222223,0.9969444444444445,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_COS_MAHA,XGB,precision,0.9745833333333334,0.9714583333333333,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_COS_MAHA,XGB,accuracy,0.983440860215054,0.9793548387096775,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_COS_MAHA,XGB,f1-score,0.9836559139784946,0.9796236559139786,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_COS_MAHA,XGB,roc_auc,0.9971388888888889,0.9957916666666666,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.01}"
DT_KM_COS_MAHA,XGBRF,precision,0.9808333333333333,0.9808333333333333,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_KM_COS_MAHA,XGBRF,accuracy,0.986774193548387,0.9859677419354839,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_KM_COS_MAHA,XGBRF,f1-score,0.9868817204301076,0.9860752688172043,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_KM_COS_MAHA,XGBRF,roc_auc,0.9977777777777778,0.9972222222222222,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_HDBSCAN_NN,DT,precision,0.99375,0.9841666666666667,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 8}"
DT_HDBSCAN_NN,DT,accuracy,0.99,0.9841666666666667,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_HDBSCAN_NN,DT,f1-score,0.9901001112347052,0.9841189946501404,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_HDBSCAN_NN,DT,roc_auc,0.9922222222222222,0.9878888888888889,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 8}"
DT_HDBSCAN_NN,RF,precision,0.98125,0.98125,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_HDBSCAN_NN,RF,accuracy,0.9801075268817205,0.9776075268817206,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}"
DT_HDBSCAN_NN,RF,f1-score,0.9792114695340501,0.9759208712434518,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}"
DT_HDBSCAN_NN,RF,roc_auc,1.0,0.9998888888888888,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_HDBSCAN_NN,XGB,precision,0.9745833333333334,0.9714583333333333,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_HDBSCAN_NN,XGB,accuracy,0.983440860215054,0.9817741935483872,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_HDBSCAN_NN,XGB,f1-score,0.9836559139784946,0.9820430107526882,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_HDBSCAN_NN,XGB,roc_auc,0.998,0.9951111111111111,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.01}"
DT_HDBSCAN_NN,XGBRF,precision,0.9875,0.9810416666666666,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_HDBSCAN_NN,XGBRF,accuracy,0.9901075268817203,0.9867741935483871,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_HDBSCAN_NN,XGBRF,f1-score,0.9901001112347052,0.9868780126065999,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_HDBSCAN_NN,XGBRF,roc_auc,0.9955555555555555,0.9949999999999999,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_HDBSCAN_COS,DT,precision,0.99375,0.9857291666666667,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_HDBSCAN_COS,DT,accuracy,0.9933333333333334,0.9858333333333333,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_HDBSCAN_COS,DT,f1-score,0.9933259176863182,0.9857875152285608,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_HDBSCAN_COS,DT,roc_auc,0.9933333333333334,0.9888333333333333,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_HDBSCAN_COS,RF,precision,0.975,0.9734375000000001,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_HDBSCAN_COS,RF,accuracy,0.9833333333333334,0.9825,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_HDBSCAN_COS,RF,f1-score,0.9836484983314794,0.9828420467185761,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_HDBSCAN_COS,RF,roc_auc,0.9995555555555555,0.9995555555555555,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_HDBSCAN_COS,XGB,precision,0.98125,0.973125,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_HDBSCAN_COS,XGB,accuracy,0.9866666666666667,0.9825000000000002,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_HDBSCAN_COS,XGB,f1-score,0.9868743047830921,0.9828476084538376,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_HDBSCAN_COS,XGB,roc_auc,0.9946666666666666,0.9941111111111112,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_HDBSCAN_COS,XGBRF,precision,0.98125,0.9762500000000001,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_HDBSCAN_COS,XGBRF,accuracy,0.9866666666666667,0.9841666666666667,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_HDBSCAN_COS,XGBRF,f1-score,0.9868743047830921,0.9844605116796441,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_HDBSCAN_COS,XGBRF,roc_auc,0.9959999999999999,0.9948888888888887,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_KM_SCAN_NN,DT,precision,0.99375,0.9858333333333333,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_NN,DT,accuracy,0.99,0.9866666666666668,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_NN,DT,f1-score,0.98963133640553,0.9865245775729647,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_NN,DT,roc_auc,0.9928888888888888,0.9872777777777778,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 8}"
DT_KM_SCAN_NN,RF,precision,0.98125,0.98125,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_NN,RF,accuracy,0.9866666666666667,0.9858333333333335,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_NN,RF,f1-score,0.9868743047830921,0.9859506594628951,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_NN,RF,roc_auc,0.999111111111111,0.9988888888888888,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_NN,XGB,precision,0.98125,0.973125,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_SCAN_NN,XGB,accuracy,0.9866666666666667,0.9825000000000002,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_SCAN_NN,XGB,f1-score,0.9868743047830921,0.9828476084538376,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_SCAN_NN,XGB,roc_auc,0.9959999999999999,0.9951111111111111,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_SCAN_NN,XGBRF,precision,0.98125,0.9779166666666668,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_KM_SCAN_NN,XGBRF,accuracy,0.9866666666666667,0.9850000000000001,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_KM_SCAN_NN,XGBRF,f1-score,0.9868743047830921,0.9852651093807934,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_KM_SCAN_NN,XGBRF,roc_auc,0.9959999999999999,0.9954444444444445,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
DT_KM_SCAN_COS,DT,precision,0.9870833333333333,0.9819345238095238,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 8}"
DT_KM_SCAN_COS,DT,accuracy,0.9833333333333334,0.9791666666666667,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 8}"
DT_KM_SCAN_COS,DT,f1-score,0.9829646697388632,0.9787121934424492,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 8}"
DT_KM_SCAN_COS,DT,roc_auc,0.9924444444444444,0.9828888888888888,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 8}"
DT_KM_SCAN_COS,RF,precision,0.98125,0.9739889705882354,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_COS,RF,accuracy,0.9833333333333334,0.9792204301075269,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_COS,RF,f1-score,0.9831797235023041,0.9792776054281894,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_COS,RF,roc_auc,1.0,0.9997777777777777,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_SCAN_COS,XGB,precision,0.9745833333333334,0.9714583333333333,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_SCAN_COS,XGB,accuracy,0.9833333333333334,0.9816666666666667,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_SCAN_COS,XGB,f1-score,0.9836559139784946,0.9820430107526882,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_SCAN_COS,XGB,roc_auc,0.9955555555555555,0.9937777777777779,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_SCAN_COS,XGBRF,precision,0.98125,0.9762500000000001,"{'subsample': 1, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
